"sampling_id","date_from","date_to","varroa_count","quality_control","hive_id","yard_id"
814,,"0004-07-17",1,1,"713","391"
1670,"0005-02-18","0005-09-18",3,1,"145","335"
1853,,,46,1,"248","87"
4074,"0004-01-18","0004-09-18",3,1,"269","85"
6928,"0006-07-19","0006-12-19",0,2,"299","87"
2625,"0009-08-17",,22,0,"600","414"
2459,,,0,0,"748","441"
4457,"0006-11-18",,13,1,"826","444"
7168,,,82,1,"51","595"
5046,,"0009-01-18",2,0,"458","369"
9389,,,0,0,"747","441"
9246,,,0,1,"2077","638"
4474,,,0,1,"1021","536"
7124,"0009-09-15",,14,1,"62","595"
8245,"0005-02-19",,19,2,"1722","618"
10035,,,6,2,"315","324"
1795,,"0008-03-15",224,1,"241","88"
8380,"2011-11-19",,24,0,"1752","621"
10521,"0007-01-20",,78,2,"96","646"
9928,"0006-09-20",,5,2,"265","87"
6067,,,1,0,"927","505"
10593,"0004-05-20",,8,2,"1271","528"
10715,"0009-03-20","0009-11-20",5,2,"330","79"
1783,,,43,1,"240","87"
273,"0008-05-17",,8,0,"483","376"
5491,,"2012-04-18",8,1,"831","444"
8059,,,20,0,"1210","565"
4021,,"0004-03-18",0,1,"939","510"
1838,,,224,1,"246","87"
7384,,,30,2,"248","324"
471,"0008-10-17",,3,1,"582","407"
6179,"0004-06-19",,35,2,"1282","528"
5382,"2010-04-18","2010-11-18",34,1,"717","391"
4177,"0004-09-18",,0,0,"971","366"
4951,"0005-01-18","0005-08-18",0,1,"305","87"
11393,,"2011-04-20",19,2,"2349","659"
8068,,,9,1,"220","214"
4968,,"0005-01-18",0,1,"264","87"
9025,"0004-04-20","0004-09-20",9,2,"2009","83"
4518,"0006-11-18",,5,0,"212","329"
5393,"2010-07-18",,23,0,"505","383"
1273,,,4,1,"152","335"
8756,,,0,0,"702","429"
8142,,,4,0,"1219","441"
983,"0008-10-17",,0,0,"198","325"
9810,,,80,1,"1967","587"
7947,,"0009-07-19",71,0,"1503","594"
9415,,,7,0,"1207","565"
1686,"0004-03-12","0004-10-12",4,1,"9","90"
767,,,0,0,"703","429"
9922,"0006-09-20",,19,2,"1763","87"
5741,,"2010-02-18",0,0,"1203","565"
1560,"0003-01-16","0003-10-16",9,1,"136","407"
5596,"0003-10-19",,1,2,"262","87"
7083,"2010-08-15",,17,1,"57","595"
1148,"0008-11-17",,51,1,"189","333"
189,"0008-07-17",,2,0,"453","369"
3676,,"0004-06-16",0,1,"939","510"
248,,,0,0,"463","374"
8894,,"0004-02-20",2,2,"1886","97"
4101,"0004-10-18",,0,1,"832","444"
4549,,,0,1,"941","510"
6955,"0006-07-19","0006-12-19",3,2,"309","324"
5300,,"0005-01-18",2,1,"299","353"
10703,"0009-08-20",,3,0,"439","367"
10295,"0004-04-20",,257,2,"2241","588"
9010,,"0004-04-20",3,2,"1994","99"
7378,,,862,2,"273","324"
8274,"2011-06-19","2011-11-19",51,0,"1529","522"
1605,"0007-06-16","0007-10-16",5,1,"138","407"
1992,"0004-11-16",,0,1,"266","87"
6682,,,0,1,"944","510"
4947,"0006-09-18",,0,1,"280","87"
7679,"0007-08-19","0007-12-19",5,2,"1288","528"
10941,,,2,2,"1760","87"
2621,"0009-08-17",,0,0,"641","411"
9553,"0005-02-20","0005-12-20",1,1,"827","444"
6289,"0005-01-19","0005-07-19",1,0,"1219","441"
9856,,,5,2,"259","87"
11221,,,9,2,"2420","618"
9303,"0004-06-20",,28,2,"1432","589"
9608,,"0005-10-20",0,0,"508","383"
10342,"0007-07-20",,198,2,"1420","588"
11381,,"2011-03-20",41,2,"327","74"
7240,"0005-07-19","0005-12-19",4,0,"1503","594"
7831,"0009-03-19","0009-09-19",1,0,"1202","565"
11093,,,3,2,"259","87"
8054,,,5,0,"1205","565"
9583,,,0,0,"1667","610"
325,,,0,0,"525","393"
10988,"2010-06-20","2010-12-20",6,0,"1531","522"
3667,,,0,1,"939","510"
8887,,"0004-02-20",2,2,"1879","98"
9070,,"0004-06-20",0,0,"438","367"
11394,,"2011-04-20",43,2,"2350","659"
603,"0009-01-17","0009-08-17",4,0,"611","414"
1194,,"0009-05-17",3,0,"546","396"
5840,,"2010-03-18",5,0,"1219","441"
11100,,,0,2,"1760","87"
6591,,,1,1,"19","91"
7079,"2010-08-15",,10,1,"53","595"
10749,"0009-03-20","0009-11-20",5,2,"364","80"
1083,,"0009-06-17",7,0,"491","377"
6038,"0004-12-19",,3,2,"253","353"
3937,,,0,0,"441","366"
10196,,,4,0,"445","371"
5567,"0003-09-19",,2,1,"223","214"
10602,"0004-05-20",,8,2,"1282","528"
11071,,,20,2,"264","324"
9317,"0004-10-20",,7,2,"1456","591"
2669,"0009-01-17","0009-08-17",0,0,"808","451"
9092,"0004-11-20",,0,1,"2071","637"
5666,,,0,1,"1071","346"
568,"0007-05-17","0007-12-17",1,0,"440","367"
10478,"0007-12-20",,10,2,"1465","590"
5237,"0006-09-18",,5,1,"246","87"
7946,,"0009-07-19",149,0,"1502","594"
6314,,,108,2,"1312","577"
6701,,"0006-03-19",1,1,"1507","587"
8554,,,0,0,"1216","441"
417,"0008-12-17",,5,0,"571","401"
1353,"0007-07-16","0007-10-16",6,1,"151","335"
