"yard_id","elevation","nuts","station_id"
"519",705.0,"AT313","110080"
"408",700.0,"AT223","111730"
"504",850.0,"AT335","113250"
"73",194.0,"AT125","113320"
"345",333.0,"AT221","112400"
"518",289.0,"AT312","110100"
"353",436.0,"AT221","111750"
"619",450.0,"AT315","110120"
"608",337.0,"AT312","110600"
"637",770.0,"AT222","113590"
"378",693.0,"AT122","113860"
"387",250.0,"AT113","111920"
"621",250.0,"AT127","110820"
"467",700.0,"AT341","113040"
"555",500.0,"AT211","112130"
"75",218.0,"AT125","113320"
"371",266.0,"AT312","110600"
"214",240.0,"AT224","112440"
"597",321.0,"AT124","110190"
"325",1206.0,"AT321","113480"
"659",191.0,"AT125","113320"
"593",360.0,"AT312","110120"
"553",714.0,"AT213","112250"
"636",764.0,"AT221","111750"
"391",159.0,"AT130","110900"
"457",450.0,"AT311","110510"
"591",380.0,"AT312","110590"
"374",430.0,"AT342","111050"
"646",390.0,"AT312","110590"
"396",630.0,"AT335","113300"
"661",430.0,"AT315","110010"
"416",300.0,"AT130","110350"
"419",250.0,"AT312","110100"
"432",1200.0,"AT213","112280"
"534",280.0,"AT312","110600"
"74",231.0,"AT125","113320"
"620",360.0,"AT312","110010"
"562",486.0,"AT225","112850"
"326",1209.0,"AT321","113480"
"97",445.0,"AT221","111750"
"527",930.0,"AT341","113010"
"372",900.0,"AT342","111050"
"564",730.0,"AT225","112960"
"376",621.0,"AT122","113860"
"551",458.0,"AT311","111520"
"617",550.0,"AT311","110550"
"393",400.0,"AT221","112920"
"554",410.0,"AT225","112400"
"382",589.0,"AT124","110240"
"88",553.0,"AT221","111750"
"613",550.0,"AT223","111750"
"560",327.0,"AT313","110600"
"429",166.0,"AT126","110350"
"507",256.0,"AT112","111900"
"451",600.0,"AT335","113250"
"439",245.0,"AT224","112960"
"611",640.0,"AT226","113650"
"526",160.0,"AT126","110900"
"662",470.0,"AT313","110600"
"411",455.0,"AT311","110010"
"87",496.0,"AT221","112420"
"91",228.0,"AT224","112480"
"610",463.0,"AT313","110600"
"76",270.0,"AT125","110830"
"431",660.0,"AT213","112290"
"536",1413.0,"AT322","111370"
"84",441.0,"AT221","111750"
"580",330.0,"AT225","112960"
"606",166.0,"AT130","110900"
"465",930.0,"AT212","112040"
"94",332.0,"AT221","112400"
"422",526.0,"AT311","110550"
"442",356.0,"AT311","110510"
"528",760.0,"AT341","113010"
"592",400.0,"AT312","110120"
"337",510.0,"AT221","112900"
"413",441.0,"AT311","110010"
"395",750.0,"AT226","112200"
"458",750.0,"AT335","113300"
"505",550.0,"AT335","113250"
"629",265.0,"AT122","110161"
"650",430.0,"AT315","110010"
"399",550.0,"AT122","113800"
"638",1010.0,"AT222","113510"
"414",455.0,"AT311","110010"
"335",865.0,"AT222","113580"
"82",525.0,"AT221","111750"
"645",470.0,"AT223","111750"
"330",158.0,"AT130","110900"
"466",1200.0,"AT212","112040"
"468",225.0,"AT125","113320"
"641",442.0,"AT315","110010"
"368",728.0,"AT213","112250"
"559",320.0,"AT313","110600"
"652",400.0,"AT221","112400"
"609",299.0,"AT312","110600"
"98",435.0,"AT221","111750"
"95",333.0,"AT225","112400"
"463",970.0,"AT212","112040"
"412",500.0,"AT311","110010"
"506",570.0,"AT335","113250"
"355",819.0,"AT221","111750"
"568",380.0,"AT221","111750"
"558",540.0,"AT122","113780"
"642",442.0,"AT315","110010"
"444",365.0,"AT225","112960"
"350",295.0,"AT224","112960"
"194",443.0,"AT221","112400"
"334",766.0,"AT315","113560"
"586",1280.0,"AT333","112520"
"452",525.0,"AT335","113250"
"459",860.0,"AT335","113300"
"332",890.0,"AT322","111470"
"351",357.0,"AT221","112400"
"338",529.0,"AT221","112920"
"569",994.0,"AT225","112140"
"656",348.0,"AT124","110190"
"366",161.0,"AT130","110900"
"462",570.0,"AT323","113570"
"410",175.0,"AT130","110900"
"566",410.0,"AT225","112960"
"79",226.0,"AT125","113320"
"643",1038.0,"AT221","111750"
"552",1080.0,"AT213","112250"
"535",260.0,"AT225","112960"
"443",750.0,"AT342","111050"
"409",290.0,"AT312","110100"
"407",637.0,"AT223","111730"
"574",350.0,"AT225","112850"
"390",390.0,"AT314","110120"
"563",464.0,"AT224","112920"
"631",478.0,"AT211","112780"
"567",475.0,"AT311","110530"
"440",391.0,"AT225","112960"
"579",430.0,"AT323","113500"
"329",1029.0,"AT321","113480"
"449",454.0,"AT315","110010"
"653",400.0,"AT221","112400"
"657",688.0,"AT341","113010"
"80",279.0,"AT125","113320"
"640",450.0,"AT323","111500"
"401",750.0,"AT226","112200"
"618",410.0,"AT315","110120"
"420",531.0,"AT311","110550"
"548",220.0,"AT124","110750"
"404",1115.0,"AT212","112750"
"565",737.0,"AT225","112960"
"546",711.0,"AT122","113860"
"78",208.0,"AT125","113320"
"523",235.0,"AT130","110340"
"364",550.0,"AT335","113250"
"622",170.0,"AT130","110900"
"400",750.0,"AT226","112200"
"660",310.0,"AT224","112980"
"339",365.0,"AT221","112900"
"589",482.0,"AT315","111530"
"405",720.0,"AT313","113670"
"89",542.0,"AT221","112900"
"92",242.0,"AT224","112960"
"93",265.0,"AT225","112960"
"587",700.0,"AT221","112420"
"469",530.0,"AT211","112780"
"602",820.0,"AT122","111710"
"373",450.0,"AT342","111050"
"331",220.0,"AT130","110340"
"590",366.0,"AT312","110590"
"512",1374.0,"AT322","111370"
"90",203.0,"AT224","112480"
"370",266.0,"AT312","110600"
"398",500.0,"AT122","113800"
"578",366.0,"AT312","110120"
"445",220.0,"AT130","110800"
"455",280.0,"AT125","110830"
"415",250.0,"AT130","110350"
"456",260.0,"AT312","110600"
"86",432.0,"AT221","111750"
"99",806.0,"AT221","111750"
"664",480.0,"AT311","110080"
"585",420.0,"AT323","113500"
"575",400.0,"AT342","113020"
"369",333.0,"AT312","110600"
"614",550.0,"AT223","111750"
"96",466.0,"AT221","111750"
"388",250.0,"AT113","111920"
"349",240.0,"AT224","112960"
"663",270.0,"AT313","110100"
"379",600.0,"AT311","110530"
"380",610.0,"AT311","110530"
"324",733.0,"AT223","111750"
"346",467.0,"AT221","112900"
"333",473.0,"AT122","113860"
"81",383.0,"AT312","110590"
"588",1022.0,"AT224","112960"
"441",762.0,"AT225","112960"
"83",446.0,"AT221","111750"
"377",580.0,"AT122","113860"
"470",260.0,"AT130","110800"
"601",450.0,"AT121","110240"
"521",417.0,"AT123","113890"
"447",750.0,"AT223","111750"
"365",750.0,"AT335","113250"
"596",528.0,"AT221","111750"
"599",485.0,"AT311","111520"
"658",708.0,"AT341","113040"
"327",1164.0,"AT321","113480"
"460",450.0,"AT313","110600"
"352",329.0,"AT221","112400"
"595",417.0,"AT221","112900"
"328",1138.0,"AT321","113480"
"510",840.0,"AT322","111370"
"340",510.0,"AT221","112900"
"389",433.0,"AT224","113900"
"644",610.0,"AT223","111760"
"417",320.0,"AT312","110100"
"77",227.0,"AT125","113320"
"632",583.0,"AT211","112780"
"85",396.0,"AT221","112900"
"625",580.0,"AT311","110080"
"367",160.0,"AT130","110900"
"418",300.0,"AT312","110100"
"598",450.0,"AT323","111500"
"450",601.0,"AT335","113250"
"428",150.0,"AT130","110370"
"522",226.0,"AT124","110750"
"612",900.0,"AT226","111650"
"556",586.0,"AT124","110240"
"529",432.0,"AT311","110080"
"386",250.0,"AT113","111920"
"397",1100.0,"AT212","112750"
"616",225.0,"AT121","110240"
"615",695.0,"AT223","111750"
"375",490.0,"AT122","113860"
"464",930.0,"AT212","112040"
"383",621.0,"AT223","111750"
"647",239.0,"AT130","110340"
"577",340.0,"AT312","110590"
"635",436.0,"AT221","111750"
"600",325.0,"AT121","110240"
"594",450.0,"AT111","113860"
"421",417.0,"AT311","110550"
"561",430.0,"AT221","112400"
"433",474.0,"AT211","112310"
